USAF,WBAN_x,YEAR,MONTH,TEMP,DEWP,WDSP,MAX,MIN,DAY,WBAN_y,CTRY,LAT,LON,ELEV(M),LBL
010010,99999.0,2019.0,1.0,26.0,19.9,16.9,30.4,19.8,16.0,99999,NO,70.933,-8.667,9.0,"JAN MAYEN(NOR-NAVY), NO<br>Elevation: 9.0 m"
010010,99999.0,2019.0,2.0,26.85,22.85,15.9,31.45,23.0,14.5,99999,NO,70.933,-8.667,9.0,"JAN MAYEN(NOR-NAVY), NO<br>Elevation: 9.0 m"
010010,99999.0,2019.0,3.0,22.5,15.4,13.2,28.0,18.1,16.0,99999,NO,70.933,-8.667,9.0,"JAN MAYEN(NOR-NAVY), NO<br>Elevation: 9.0 m"
010010,99999.0,2019.0,4.0,32.35,28.25,11.15,34.2,29.6,8.5,99999,NO,70.933,-8.667,9.0,"JAN MAYEN(NOR-NAVY), NO<br>Elevation: 9.0 m"
010014,99999.0,2019.0,1.0,36.5,30.4,11.1,39.2,33.8,16.0,99999,NO,59.792,5.341,48.8,"SORSTOKKEN, NO<br>Elevation: 48.8 m"
010014,99999.0,2019.0,2.0,40.95,36.8,9.45,44.6,39.2,14.5,99999,NO,59.792,5.341,48.8,"SORSTOKKEN, NO<br>Elevation: 48.8 m"
010014,99999.0,2019.0,3.0,40.55,36.95,9.35,44.6,37.4,16.0,99999,NO,59.792,5.341,48.8,"SORSTOKKEN, NO<br>Elevation: 48.8 m"
010014,99999.0,2019.0,4.0,46.650000000000006,29.0,6.6,51.8,38.3,8.5,99999,NO,59.792,5.341,48.8,"SORSTOKKEN, NO<br>Elevation: 48.8 m"
010020,99999.0,2019.0,1.0,15.4,9.7,14.3,18.7,12.0,16.0,99999,NO,80.05,16.25,8.0,"VERLEGENHUKEN, NO<br>Elevation: 8.0 m"
010020,99999.0,2019.0,2.0,13.55,8.35,14.3,17.6,8.4,14.5,99999,NO,80.05,16.25,8.0,"VERLEGENHUKEN, NO<br>Elevation: 8.0 m"
010020,99999.0,2019.0,3.0,2.3,-1.6,14.1,4.3,-2.7,16.0,99999,NO,80.05,16.25,8.0,"VERLEGENHUKEN, NO<br>Elevation: 8.0 m"
010020,99999.0,2019.0,4.0,13.05,9.850000000000001,13.149999999999999,20.45,8.6,8.5,99999,NO,80.05,16.25,8.0,"VERLEGENHUKEN, NO<br>Elevation: 8.0 m"
010030,99999.0,2019.0,1.0,16.0,8.0,12.9,20.8,12.4,16.0,99999,NO,77.0,15.5,12.0,"HORNSUND, NO<br>Elevation: 12.0 m"
010030,99999.0,2019.0,2.0,18.1,9.65,12.75,21.85,13.2,14.5,99999,NO,77.0,15.5,12.0,"HORNSUND, NO<br>Elevation: 12.0 m"
010030,99999.0,2019.0,3.0,9.4,2.7,12.7,14.0,6.1,16.0,99999,NO,77.0,15.5,12.0,"HORNSUND, NO<br>Elevation: 12.0 m"
010030,99999.0,2019.0,4.0,24.65,19.75,8.7,30.75,18.25,8.5,99999,NO,77.0,15.5,12.0,"HORNSUND, NO<br>Elevation: 12.0 m"
010060,99999.0,2019.0,1.0,13.9,8.8,13.9,17.2,11.5,16.0,99999,NO,78.25,22.817,14.0,"EDGEOYA, NO<br>Elevation: 14.0 m"
010060,99999.0,2019.0,2.0,9.3,5.9,10.95,15.649999999999999,-0.6,14.5,99999,NO,78.25,22.817,14.0,"EDGEOYA, NO<br>Elevation: 14.0 m"
010060,99999.0,2019.0,3.0,-1.1,-5.4,8.4,4.3,-5.6,16.0,99999,NO,78.25,22.817,14.0,"EDGEOYA, NO<br>Elevation: 14.0 m"
010060,99999.0,2019.0,4.0,14.1,9.9,9.8,22.0,7.05,8.5,99999,NO,78.25,22.817,14.0,"EDGEOYA, NO<br>Elevation: 14.0 m"
010070,99999.0,2019.0,1.0,17.5,8.6,8.7,21.9,9.1,16.0,99999,SV,78.917,11.933,7.7,"NY-ALESUND, SV<br>Elevation: 7.7 m"
010070,99999.0,2019.0,2.0,11.85,1.7999999999999998,8.649999999999999,15.8,6.550000000000001,14.5,99999,SV,78.917,11.933,7.7,"NY-ALESUND, SV<br>Elevation: 7.7 m"
010070,99999.0,2019.0,3.0,10.0,0.3,8.3,14.5,2.5,16.0,99999,SV,78.917,11.933,7.7,"NY-ALESUND, SV<br>Elevation: 7.7 m"
010070,99999.0,2019.0,4.0,21.700000000000003,14.65,6.05,27.9,16.85,8.5,99999,SV,78.917,11.933,7.7,"NY-ALESUND, SV<br>Elevation: 7.7 m"
010080,99999.0,2019.0,1.0,12.3,5.0,11.2,18.1,7.9,16.0,99999,SV,78.246,15.466,26.8,"LONGYEAR, SV<br>Elevation: 26.8 m"
010080,99999.0,2019.0,2.0,11.7,3.45,10.25,14.75,6.0,14.5,99999,SV,78.246,15.466,26.8,"LONGYEAR, SV<br>Elevation: 26.8 m"
010080,99999.0,2019.0,3.0,4.2,-2.3,9.9,12.4,-2.2,16.0,99999,SV,78.246,15.466,26.8,"LONGYEAR, SV<br>Elevation: 26.8 m"
010080,99999.0,2019.0,4.0,22.6,16.2,8.3,29.549999999999997,15.600000000000001,8.5,99999,SV,78.246,15.466,26.8,"LONGYEAR, SV<br>Elevation: 26.8 m"
010090,99999.0,2019.0,1.0,13.4,7.6,14.4,17.6,11.7,16.0,99999,SV,80.65,25.0,5.0,"KARL XII OYA, SV<br>Elevation: 5.0 m"
010090,99999.0,2019.0,2.0,9.55,4.15,13.85,14.25,4.8,14.5,99999,SV,80.65,25.0,5.0,"KARL XII OYA, SV<br>Elevation: 5.0 m"
010090,99999.0,2019.0,3.0,-11.9,-16.7,15.8,-8.3,-16.6,16.0,99999,SV,80.65,25.0,5.0,"KARL XII OYA, SV<br>Elevation: 5.0 m"
010090,99999.0,2019.0,4.0,8.8,5.5,7.8,14.3,3.65,8.5,99999,SV,80.65,25.0,5.0,"KARL XII OYA, SV<br>Elevation: 5.0 m"
010100,99999.0,2019.0,1.0,26.4,21.0,14.5,30.7,23.0,16.0,99999,NO,69.293,16.144,13.1,"ANDOYA, NO<br>Elevation: 13.1 m"
010100,99999.0,2019.0,2.0,27.700000000000003,22.8,14.2,32.1,24.6,14.5,99999,NO,69.293,16.144,13.1,"ANDOYA, NO<br>Elevation: 13.1 m"
010100,99999.0,2019.0,3.0,29.1,22.2,16.0,32.2,23.0,16.0,99999,NO,69.293,16.144,13.1,"ANDOYA, NO<br>Elevation: 13.1 m"
010100,99999.0,2019.0,4.0,33.849999999999994,28.55,11.3,37.849999999999994,28.4,8.5,99999,NO,69.293,16.144,13.1,"ANDOYA, NO<br>Elevation: 13.1 m"
010110,99999.0,2019.0,1.0,6.8,3.9,15.4,11.5,1.8,16.0,99999,SV,80.067,31.5,10.0,"KVITOYA, SV<br>Elevation: 10.0 m"
