USAF,WBAN_x,YEARMODA,TEMP,DEWP,WDSP,MAX,MIN,YEAR,MONTH,DAY,WBAN_y,CTRY,LAT,LON,ELEV(M),LBL
723759,53990.0,2010-12-31,63.2,50.3,11.3,66.2,50.0,2010.0,12.0,31.0,53990,US,33.909,-94.859,143.9,"MC CURTAIN COUNTY REGIONAL AIRPORT, OK, US<br>Elevation: 143.9 m"
723759,53990.0,2011-12-31,48.6,38.3,5.9,68.0,32.0,2011.0,12.0,31.0,53990,US,33.909,-94.859,143.9,"MC CURTAIN COUNTY REGIONAL AIRPORT, OK, US<br>Elevation: 143.9 m"
723759,53990.0,2012-12-31,37.6,30.9,5.6,41.0,35.6,2012.0,12.0,31.0,53990,US,33.909,-94.859,143.9,"MC CURTAIN COUNTY REGIONAL AIRPORT, OK, US<br>Elevation: 143.9 m"
723759,53990.0,2013-12-31,32.9,23.3,2.4,51.8,21.2,2013.0,12.0,31.0,53990,US,33.909,-94.859,143.9,"MC CURTAIN COUNTY REGIONAL AIRPORT, OK, US<br>Elevation: 143.9 m"
723759,53990.0,2014-12-31,34.5,25.8,3.4,39.2,30.2,2014.0,12.0,31.0,53990,US,33.909,-94.859,143.9,"MC CURTAIN COUNTY REGIONAL AIRPORT, OK, US<br>Elevation: 143.9 m"
723759,53990.0,2015-12-31,38.5,32.3,1.9,51.8,30.2,2015.0,12.0,31.0,53990,US,33.909,-94.859,143.9,"MC CURTAIN COUNTY REGIONAL AIRPORT, OK, US<br>Elevation: 143.9 m"
723759,53990.0,2016-12-31,50.5,32.4,7.8,66.2,44.6,2016.0,12.0,31.0,53990,US,33.909,-94.859,143.9,"MC CURTAIN COUNTY REGIONAL AIRPORT, OK, US<br>Elevation: 143.9 m"
723759,53990.0,2017-12-31,31.9,28.6,7.3,35.6,23.0,2017.0,12.0,31.0,53990,US,33.909,-94.859,143.9,"MC CURTAIN COUNTY REGIONAL AIRPORT, OK, US<br>Elevation: 143.9 m"
723759,53990.0,2018-12-31,43.0,39.0,4.1,53.6,39.2,2018.0,12.0,31.0,53990,US,33.909,-94.859,143.9,"MC CURTAIN COUNTY REGIONAL AIRPORT, OK, US<br>Elevation: 143.9 m"
723555,93940.0,2010-12-31,56.1,49.3,8.8,62.6,46.4,2010.0,12.0,31.0,93940,US,34.3,-97.017,221.0,"ARDMORE MUNICIPAL AIRPORT, OK, US<br>Elevation: 221.0 m"
